name,link,locations,credential
Early Childhood Education,https://saskpolytech.ca/programs-and-courses/programs/Early-Childhood-Education-Diploma.aspx,"Moose Jaw, Prince Albert, Regina, Saskatoon",Diploma
Educational Assistant,https://saskpolytech.ca/programs-and-courses/programs/Educational-Assistant.aspx,"Regina, Saskatoon",Certificate
Electrical Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Electrical-Engineering-Technology.aspx,Moose Jaw,Diploma
Electrician,https://saskpolytech.ca/programs-and-courses/programs/Electrician.aspx,"Prince Albert, Regina, Saskatoon",Applied Certificate
Electronic Systems Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Electronic-Systems-Engineering-Technology.aspx,Saskatoon,Diploma
Emergency Nursing,https://saskpolytech.ca/programs-and-courses/programs/Emergency-Nursing.aspx,"Online/Distance, Regina",Certificate of Achievement
Engineering Design and Drafting Technology,https://saskpolytech.ca/programs-and-courses/programs/Engineering-Design-and-Drafting-Technology.aspx,Moose Jaw,Diploma
Entrepreneurship,https://saskpolytech.ca/programs-and-courses/programs/Entrepreneurship.aspx,Moose Jaw,Post-Graduate Certificate
Environmental Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Environmental-Engineering-Technology.aspx,Moose Jaw,Diploma
Esthetician-Nail Technician,https://saskpolytech.ca/programs-and-courses/programs/Esthetician-Nail-Technician.aspx,Prince Albert,Certificate of Achievement
Esthetician-Skin Care Technician,https://saskpolytech.ca/programs-and-courses/programs/Esthetician-Skin-Care-Technician.aspx,Prince Albert,Certificate
Fabricator - Welder,https://saskpolytech.ca/programs-and-courses/programs/Fabricator-Welder.aspx,"Regina, Saskatoon",Certificate
Financial Services,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Financial Services,https://saskpolytech.ca/programs-and-courses/programs/Financial-Services-PGC.aspx,,Post-Graduate Certificate
Food and Nutrition Management,https://saskpolytech.ca/programs-and-courses/programs/Food-and-Nutrition-Management.aspx,Saskatoon,Diploma
Food Service Cook,https://saskpolytech.ca/programs-and-courses/programs/Food-Service-Cook.aspx,Prince Albert,Applied Certificate
Forest to Fork,https://saskpolytech.ca/programs-and-courses/programs/Forest-to-Fork.aspx,,Applied Certificate
Front-End Web Development,https://saskpolytech.ca/programs-and-courses/programs/Front-End-Web-Development.aspx,Online/Distance,Applied Certificate
